ID,URL,Type,Corpus,Date,Dateline,Place,Topic,Title,Body,Notes,Snippet,Context,Summary
Review: 354 : Amazon Echo - Black,null,0,Amazon Review,Mon Dec 21 00:00:00 EST 2015,"December 21, 2015",null,Amazon Echo - Black,null,"The Echo is fast. Damn fast! It can even pull up music from Pandora and iHeart Radio in less than 5 seconds! It recognizes my voice in a near- whisper from 20 feet away! It even finds artists and albums with a few short words! ""Shuffling [so-and-so] by [so-and-so]."". Boom! 2 seconds, you're listening to a new album or artist you DON'T have in your prime collection! I want to listen to anything... Well here you go. The only catch is you have to know what you're looking for. If you don't get it right, the Echo might ask you if you're looking for [this]. For me, I needed the ability to listen to my hundreds of albums on Google Music. But guess what? Anything not on your stations in Pandora, iHeart Radio or on Prime Music... It's a friggin Bluetooth speaker! It will stream music from my phone or tablet. Set the volume by asking for volume 1 to impressively loud 10! Very soothing voice (like a female version of Jarvis from Iron Man), fluid natural speaking, a pretty fun library of jokes ( I tried the woodchuck joke, it responded funny the first time), the abily to pause, resume, and repeat any incoming Bluetooth music... Wow. Why did Google not get all over this? Maybe they did. You know Google. But it suggests a Bing search it sends to your device. It's obvious who endorsed this. It is the beginning of Skynet. Ha ha ha. It can control any WiFi device such as lights. If I were to reach for a complaint (far reach!), it doesn't have a function to shuffle your own playlists. You can ask for it when music begins. But I'm huge on Shuffle. It will instead start on the same piece every time. And no Reapeat-All fuction. It instead starts over the playlist when asked. Maybe the functions are somewhere burried in the Alexa App. The last thing I could say, it's very simple for some responses and no ability to follow up the previous question. Overall, I could not be more pleased! A merry Christmas to me! Hello 2016. This is a fun start. Make room Google. And hello battery life on my phone and Tablet. =P",null,null,,null
Review: 299 : Amazon Echo - Black,null,0,Amazon Review,Thu Feb 11 00:00:00 EST 2016,"February 11, 2016",null,Amazon Echo - Black,null,My family and I like our echo .. but it's so new yet .. I think Amazon needs to add a lot more stuff to it before I would recommend people buying it .. Last week or so I know they added Uber service .. Pizza delivery that's nice .. She good for checking facts .. and if you spend the money for the plug ins .. she can turn lights on and off .. but that gets kind of expensive to do .. I think she has potential and I know Amazon is updating her often ..This is wishy washy I know .. but it's the best review I can do at this time.,null,null,,null
Review: 394 : Amazon Echo - Black,null,0,Amazon Review,Mon Apr 25 00:00:00 EDT 2016,"April 25, 2016",null,Amazon Echo - Black,null,"The Amazon Echo is a very good product. It has the potential to eventually be a great product. Anyone reading this review will likely already know about most, if not all, of the Echo's features so I will not clutter this review with descriptions of the basic features. I do want to share an observation about Echo's integration with IFTTT. The Amazon Alexa IFTTT library of recipes is still small. Hopefully more recipes will be coming soon. And, as many other Echo owners have stated, the current way of issuing Alexa IFTTT commands is mostly awkward. For example, if you want Alexa to call someone's cell phone (or your own) there are some recipes to do that. However, most of those recipes work by telling Alexa to add an item to your to-do list. That is awkward, and can create confusion for elderly users of the Echo. Another somewhat annoying aspect of the Alexa IFTTT arrangement is that in order to activate an IFTTT recipes it is necessary to preface the recipe name with the command ""TRIGGER"". For example, I have a recipe that I created for possible use by my elderly mom. The recipe is ""Call Jerry"" (it sends a saved message). So, for my mom to ask Alexa to call me, she would need to say ""Alexa, Trigger Call Jerry"". Her brain at her age does not think like that. At the very least, I strongly suggest that Amazon change the IFTTT activation word ""TRIGGER"" to ""PLEASE"". This will make for more natural sounding commands. My previous ""Call Jerry"" example would become: ""Alexa, Please Call Jerry"" -- that sounds very natural, and probably can be remembered better by not only elderly people, but everyone. If the Amazon Echo is to go beyond ""very good"" to ""great"" Amazon and IFTTT would need to make it possible for more natural language statements to accomplish tasks and recipes. As it stands now, the Echo implements a rather limited syntax. Until then, I think my suggestion to use ""PLEASE"" instead of (or optionally to) ""TRIGGER"" would be a good interim solution.",null,null,,null
Review: 192 : Amazon Echo - Black,null,0,Amazon Review,Sun Nov 29 00:00:00 EST 2015,"November 29, 2015",null,Amazon Echo - Black,null,See this is why I wish Amazon had half star reviews as well. Because I love it! But there are a few set back on it. But its not a four star product nor is it a 5 star. Of course this is a new item and there are a few kinks and ripples in its operation. But thats to be expected from a voice guided system. I mean Siri wasn't that great when they first put it on their iPhones. But now look what it can do. You can ask it all sorts of questions and it will answer most of the time. But sometimes it has a hard time getting an answer. I know it understands me well enough because when you open up the app on your phone you can see that it clearly heard you and understood what you were saying it just didn't have the answer for you in the cloud. But one thing Amazon did do right are the multi-colored lights at the top of the speaker thats a REALLY cool additive. They also made it wired to a power source which is a good think because if it had a battery it would probably have to be 12 times bigger and 6 times heavier than it is now. But as Amazon and its services comes up with new updates and new things to add to the features it will get way more better over time. But there are a few down sides. Sometimes when I'm playing some music off of my phone through bluetooth it gets kinda glitchy and lags a few second every now and then. Then theres the fact that when you turn the volume up too loud it will start to distort the speaker and it will sound very raspy and poor. I know Amazon can fix all these things with a few software updates or building their online knowledge database. But until then it a 4.5 for me.,null,null,,null
Review: 378 : Amazon Echo - Black,null,0,Amazon Review,Wed Jul 13 00:00:00 EDT 2016,"July 13, 2016",null,Amazon Echo - Black,null,"I'm a die hard Apple fan, user and stockholder. This product feels like the ""next big thing"" and Amazon just gave Apple a black eye. That out of the way I love everything about this device. It's sound quality is almost mind blowing and Alexa is fairly quick on the draw with answers or looking up music. Like Siri she's a little rough around the edges on some subjects. She had no idea who the Texas Rangers baseball team are but she knew how old Burt Reynolds is in a split second. Go figure. Weather forecasts and other things you might ask on a daily basis seem to be absolutely no challenge and she gives quick succinct answers. The only thing lacking is any kind of visual interface so you have to ask Alexa for any information you might want like the name of a song. I'm actually using my iPhone and Siri to name the songs. So far Siri and Alexa are getting along just fine. Overall a VERY impressive device.",null,null,,null
Review: 96 : Amazon Echo - Black,null,0,Amazon Review,Fri Jul 03 00:00:00 EDT 2015,"July 3, 2015",null,Amazon Echo - Black,null,"I just received my Echo this morning and have already fallen in love with it. I want to begin by saying that when Amazon doesn't get it right, I'm very willing to write a negative review. But with this device, Amazon got it right. It must be said that this device is great for those who have bought music from Amazon Prime and books from Audible (an Amazon company). Like Apple's and Google's products, Echo is designed to maximize purchases from Amazon. Is that a bad thing? For me, not at all because I buy music and video from all three services. With that said, Echo is easy to set up and fun to use. So far I've asked Alexa to play NPR news, music from my Prime library, and asked her all kinds of information questions, most of which she could answer. The speaker's audio quality is very, very good and the volume can be adjusted surprisingly high with little to no distortion. My daughter and I were listening to music through Echo and playing ping pong two rooms away and the volume was loud enough that often we would have to repeat what we said to make ourselves heard. I can see our family using this mostly in the kitchen which is centrally located and where we spend a lot of time. I would say this is a useful and fun gadget that will only get better with future feature additions by Amazon. Well done!!",null,null,,null
Review: 195 : Amazon Echo - Black,null,0,Amazon Review,Sat Jul 11 00:00:00 EDT 2015,"July 11, 2015",null,Amazon Echo - Black,null,"It's useful, but not all the features are ready for prime time. I bought this for my Mom who is legally blind. I didn't realize that it required the app to set it up. I thought that was just optional. My bad. She can ask what time it is. Hear the weather and the news flash from NPR. Play playlists from Amazon prime and radio stations from I Heart Radio. Thats good. There needs to be more refinement though. There's scant documentation on how it all works. You just have to figure it out as you go that this all works through linked accounts. One of the main things I bought this for is her to be able to listen to books on Audible. That works well except there are no features to go back a chapter, start reading over from the start of a chapter, or start reading from the beginning of the book. Alexa recognizes these commands but says something like sorry but you need to do that on the app. If the command is able to be recognized, Alexa should be able to start the book over at that point. Hopefully this will be fixed soon, because that is pretty unworkable for a blind person.",null,null,,null
Review: 361 : Amazon Echo - Black,null,0,Amazon Review,Tue Apr 05 00:00:00 EDT 2016,"April 5, 2016",null,Amazon Echo - Black,null,"As I just finished commenting to another customer's review, I thought that I would also post my response & review here as well. There has already been an abundance of EXCELLENT reviews with a lot of supporting information from personal use the product. So, I will just followup with the information that I provided in the previously mentioned reply to a review: ""I'm curious as to where some these individuals come up with their ""material""! I do NOT refer to them as ""reviewers"" since all their posts are just plain ""fiction"" with NO supporting information or references. I've had an Echo since the first days it was offered to Prime Members by ""invitation"". I've witnessed the continuous ""growth"" of the abilities that the Amazon team are giving the Echo! Besides the information that Amazon provides, regarding the Echo, the following link is another EXCELLENT link to a web site that provides a ""ton"" of info & ""how to's"" for the Echo. It's an additional excellent source for Echo owners & those that wish to do additional research before purchasing an Echo: [...]",null,null,,null
Review: 171 : Amazon Echo - Black,null,0,Amazon Review,Fri Oct 21 00:00:00 EDT 2016,"October 21, 2016",null,Amazon Echo - Black,null,"It worked for a few months, but then I needed to unplug it and move it to another outlet in the same room and it no longer can connect. It keeps getting an error message at the last step of set up. Customer service tried for over 30 minutes to get it to work without success. They just said to contact my Internet service provider. Why it would work and then not is a mystery. I don't have time to waste trouble shooting it and regret the purchase.",null,null,,null
Review: 191 : Amazon Echo - Black,null,0,Amazon Review,Tue Sep 13 00:00:00 EDT 2016,"September 13, 2016",null,Amazon Echo - Black,null,"I was skeptical at first, my wife even more so. She told me that I wasted my $. After 60 days of use, we both have decided we can't live without this little gem. We use it daily. We probably don't use it to it's full potential, but here's what we mainly use it for: - Music streaming: We have a Bose Sound Dock, and that thing is now sitting and gathering dust. We are constantly streaming music off of Prime and Pandora. Who needs to bother with docking an iPod in the Bose and playing only whats on your playlists? Music quality isn't as good as on the Bose, but I'm not trying to have a rock concert. At low-medium volume levels, the sound is great. - Shopping and to-do lists: We are constantly making shopping and to-do lists with this thing. It works great. I don't like that you can only add one thing at a time to your lists, but I understand why they haven't fixed this yet. If I were to say ""Echo (that's the name of ours) add macaroni and cheese"" it will add mac and cheese to our list. If I were to say ""add steak and eggs and laundry detergent"" it doesn't differentiate the ""ands"" and it adds all of those on one line. We just shorthand the dialect and say ""echo add steak, echo add eggs, echo add laundry detergent."" - Timer: We love to use this as a kitchen timer. ""echo, timer 8 minutes and 30 seconds"" She's off and running. - Weather reports: Just ask and she delivers! ""Echo, what's today's weather?"" ""Echo, what's the 7-day forecast?"" ""Echo, what's the chance of rain?"" - Jokes: This kids love to ask her to tell them a joke in the morning before school so they can tell it at school. They're all clean jokes. I hope you found this review to be helpful, please click below to indicate that you did. Thanks",null,null,,null
Review: 1 : Amazon Echo - Black,null,0,Amazon Review,Sun Jul 24 00:00:00 EDT 2016,"July 24, 2016",null,Amazon Echo - Black,null,"LOVE OUR NEW ECHO! I have been watching the reviews online and checking with friends that have purchased the Echo to see how much they liked or disliked its features. Last person I talked to went on and on about all the things there were using it for and that persuaded me it was time and Amazon Prime Day was the perfect opportunity to go for it. Amazon did a fantastic job of creating this tubular info-taining command center! There are so many cool and awesome things its able to do that I'll hit the highlights that work for our household. First, we love that it follows your voice in the room (the circle lighting will show which direction it is 'listening'), the speaker is wonderfully balanced, so whether listening to music, the news or to Alexa speaking, I have nothing but high marks for its sound quality, given its size. Next, set up (after downloading the app to our iPhones) was quick, easy and very intuitive. The more you look over the app, the more you will realize a world of 'skills' (as Amazon refers to them - we've nicked named them ""echolettes"" LOL) that the unit is able to perform once they are turned on and you master the right sequence of keywords to initialize them. We've added things to shopping lists, while asking about the weather and our calendar of events and then asked Alexa to change the temp of our Nest thermostats in various parts of the house, simply by saying her name and then our commands, sometimes sitting in the living room or simply pass through - she is always there listening and ready. We've ordered some LED programmable lights and I can hardly wait for Alexa to help set the mood in the house, room to room, all from a simple voice request. Even though we are fairly tech savvy and have phone, tablets and watches that can control devices, its HUGE to just ask for something and a pleasant voice setting it in motion. I am a regular Amazon Prime shopper and reviewer, if my review helped you in making up your mind about whether to purchase the Echo, please mark the Helpful button, it tells Amazon that folks are in fact reading reviews like this. Thanks!",null,null,,null
Review: 365 : Amazon Echo - Black,null,0,Amazon Review,Sat May 21 00:00:00 EDT 2016,"May 21, 2016",null,Amazon Echo - Black,null,The Echo itself is great. The app for controlling it is awful. It's not bad when it works but it constantly logs out and there appears to be no way to make it stay logged in. You can't add devices for the Echo to control without the app.,null,null,,null
Review: 360 : Amazon Echo - Black,null,0,Amazon Review,Mon Jul 04 00:00:00 EDT 2016,"July 4, 2016",null,Amazon Echo - Black,null,"This is fantastic and fun. I love being able to turn to any music, or report from across the room. I listen to music while I work, but sometimes I have to turn it off, up, down, for a few minutes or I want to switch to another station or program and I can just say, Alexa! My grandkids came to visit and spent the day driving me crazy by even asking her to do weird things. Did you know Alexa can make, fart noises if asked in the right way? No, - me either. Not something I need, but it does entertain little kids. I have found music I have never heard and listen to podcasts all the time. It is easy to set up and use - basically works itself. I had thought of buying speakers for my music, but in my small work room Alexa is great. Next question is do I really need the Tap or the Dot? Alexa can also turn on the lights, the temperature and works with Amazon Fire (which I have not yet used) I would definitely buy the Echo again.",null,null,,null
Review: 285 : Amazon Echo - Black,null,0,Amazon Review,Wed Feb 17 00:00:00 EST 2016,"February 17, 2016",null,Amazon Echo - Black,null,"I bought the Echo more out of curiosity than anything else. Boy has she spoiled me. When husband asks anything that I can't answer, I ask her. Weather, actors name, distance to a park, etc. It is so much easier than going into office and looking up info on computer. There is so much more that Alexa can do. I am going to buy the needed lights, so she can turn them on. I am anxious for new ""tricks"" to be developed. We are seniors, I wish they would make her capable of dialing 911. Sound quality is pretty darn good considering her size. I laugh at my husband when he thanks her for playing his music. It's hard not to say it. LOL. Make us feel very ""Jetson"".",null,null,,null
Review: 399 : Amazon Echo - Black,null,0,Amazon Review,Sat Jul 18 00:00:00 EDT 2015,"July 18, 2015",null,Amazon Echo - Black,null,"Alexa write this post for me! ""I am sorry I did not quite understand your question,"" states Alexa. Alexa you rock! ""Thank you,"" states Alexa. Pros - Great Product - Integrates with the Wink APP perfectly - You can control the Echo via voice using a Fujikam FI-361. More of an Easter egg than a feature. - Speaker sound is good, but it would be great if it had a little more bass. Maybe the next version of echo would include a BEATs speaker? Cons - It would be great if Echo would provide local movie times. Since its already pulling location information. It would be great if it would ask you what radius would you like to search or even better what theater you would like to visit. - I wish there was a way to disable the log feature. - I would also like to have a web GUI interface via PC in addition to my smart phone. - I would also like an easier way to pull the MAC address for those of us who are using MAC filtering on our wireless routers. You currently have to reach out to customer support to pull this information. That is a bit much don't you think? A label could eliminate a phone call or an email. Other thoughts: - It would be great if Echo would integrate with the BIBLE.is app. - It would be awesome if you could get a discount on the remote if you purchase an Echo. -02.02.16= Amazon added the local movie times feature to the Echo! Wow they really do read our posts!",null,null,,null
Review: 128 : Amazon Echo - Black,null,0,Amazon Review,Thu Oct 15 00:00:00 EDT 2015,"October 15, 2015",null,Amazon Echo - Black,null,"Alexa is not something that anyone really needs, but she is a lot of fun. I've only had mine for a few days, but I'm already so used to having Alexa answer me that I've actually caught myself starting to talk to other household appliances just out of habit. The interface with Prime music is pretty good, if a bit quirky until you get used to it, and the sound quality is pretty good for the size and cost of the device. The shopping list and to-do lists work really well. For me, the coolest thing about Alexa isn't what she can do now, since that is fairly limited, but the promise of what she and other smart devices will be able to do soon. Some things Echo doesn't do now which I wish it would (or at least which I haven't figured out yet): -Let the user change the name to something other than Alexa or Amazon. No offense to anyone named Alexa, but it would be nice to be able to personalize it, and it would make sense for each user to have a different name for the device so there would be no question which profile the Echo uses. -Interface with other home electronics. As mentioned above, the sound quality of the Echo is pretty good, but it would sound much better if it could play music over my home stereo. -It would be really cool if the Echo would act as a speaker phone for my cell phone. -Shopping lists and to-do lists should be able to be emailed or printed so I don't have to sit staring at the Alexa app in the grocery store.",null,null,,null
Review: 447 : Amazon Echo - Black,null,0,Amazon Review,Tue Aug 09 00:00:00 EDT 2016,"August 9, 2016",null,Amazon Echo - Black,null,"We have had an interesting few months with ""Alexa""!!!! I'm surprised many times with what she knows and sometimes surprised with what she DOES NOT know! We are learning how to ""expand"" her knowledge and are having fun learning. She DOES have an attitude! She likes me, but does not seem to care much for my husband! Hmmmmm! She frequently cops an attitude with him.........he thinks she is more AI than we expected!!!!!! She is easy to use and easy to program new things. I like that she can ""learn"" new things and broaden her capabilities.",null,null,,null
